experiment,condition,model,seed,base_test_acc,best_test_acc,best_val_acc,best_alpha,delta_pp,test_acc_a0.0,test_acc_a0.3,test_acc_a0.5,test_acc_a0.7,test_acc_a1.0
A,main,"RF(50,d5)",42,0.66625,0.66625,0.6677083333333333,1.0,0.0,0.665,0.660625,0.66375,0.6675,0.66625
A,main,"RF(50,d5)",43,0.67875,0.67,0.6552083333333333,0.0,-0.8749999999999925,0.67,0.673125,0.676875,0.679375,0.67875
A,main,"RF(50,d5)",44,0.659375,0.664375,0.6520833333333333,0.7,0.5000000000000004,0.670625,0.664375,0.663125,0.664375,0.659375
A,main,"RF(50,d5)",45,0.64375,0.646875,0.6802083333333333,0.7,0.31249999999999334,0.656875,0.64625,0.64875,0.646875,0.64375
A,main,"RF(50,d5)",46,0.6775,0.6775,0.653125,1.0,0.0,0.675625,0.678125,0.67875,0.679375,0.6775
A,main,"RF(50,d5)",47,0.645625,0.645,0.6416666666666667,0.0,-0.06249999999999867,0.645,0.64125,0.64,0.64375,0.645625
A,main,"RF(50,d5)",48,0.6475,0.643125,0.6802083333333333,0.5,-0.4375000000000018,0.6425,0.641875,0.643125,0.64,0.6475
A,main,"RF(50,d5)",49,0.64875,0.645625,0.6697916666666667,0.5,-0.31250000000000444,0.650625,0.646875,0.645625,0.645,0.64875
A,main,"RF(50,d5)",50,0.66875,0.666875,0.65,0.3,-0.187499999999996,0.65875,0.666875,0.665,0.66125,0.66875
A,main,"RF(50,d5)",51,0.656875,0.663125,0.6697916666666667,0.5,0.6249999999999978,0.6625,0.661875,0.663125,0.6575,0.656875
A,main,"RF(50,d5)",52,0.655,0.658125,0.65625,0.7,0.31249999999999334,0.65875,0.65625,0.65875,0.658125,0.655
A,main,"RF(50,d5)",53,0.67,0.67,0.659375,1.0,0.0,0.6675,0.6675,0.669375,0.6675,0.67
A,main,"RF(50,d5)",54,0.664375,0.6625,0.675,0.5,-0.1875000000000071,0.660625,0.66,0.6625,0.66625,0.664375
A,main,"RF(50,d5)",55,0.675,0.675,0.6895833333333333,1.0,0.0,0.675,0.675625,0.673125,0.675625,0.675
A,main,"RF(50,d5)",56,0.65375,0.656875,0.65625,0.3,0.31249999999999334,0.655625,0.656875,0.65375,0.65375,0.65375
A,main,"RF(50,d5)",57,0.640625,0.638125,0.6489583333333333,0.5,-0.24999999999999467,0.64125,0.64,0.638125,0.639375,0.640625
A,main,"RF(50,d5)",58,0.658125,0.658125,0.6458333333333334,1.0,0.0,0.6525,0.659375,0.656875,0.6575,0.658125
A,main,"RF(50,d5)",59,0.639375,0.633125,0.6625,0.7,-0.6249999999999978,0.64,0.638125,0.63375,0.633125,0.639375
A,main,"RF(50,d5)",60,0.65625,0.65625,0.6510416666666666,1.0,0.0,0.656875,0.6575,0.651875,0.655625,0.65625
A,main,"RF(50,d5)",61,0.650625,0.6475,0.646875,0.5,-0.31250000000000444,0.645625,0.645,0.6475,0.65,0.650625
A,main,"RF(20,d3)",42,0.58125,0.595625,0.6052083333333333,0.0,1.4374999999999916,0.595625,0.59875,0.59375,0.594375,0.58125
A,main,"RF(20,d3)",43,0.555,0.556875,0.5739583333333333,0.0,0.187499999999996,0.556875,0.549375,0.554375,0.550625,0.555
A,main,"RF(20,d3)",44,0.574375,0.5875,0.559375,0.3,1.3125000000000053,0.5675,0.5875,0.586875,0.574375,0.574375
A,main,"RF(20,d3)",45,0.555625,0.5575,0.5770833333333333,0.0,0.187499999999996,0.5575,0.55375,0.555,0.559375,0.555625
A,main,"RF(20,d3)",46,0.5975,0.599375,0.590625,0.0,0.187499999999996,0.599375,0.6,0.600625,0.59,0.5975
A,main,"RF(20,d3)",47,0.5025,0.503125,0.5052083333333334,0.0,0.06250000000000977,0.503125,0.503125,0.499375,0.499375,0.5025
A,main,"RF(20,d3)",48,0.58625,0.595,0.6239583333333333,0.5,0.8749999999999925,0.57625,0.596875,0.595,0.580625,0.58625
A,main,"RF(20,d3)",49,0.580625,0.580625,0.5979166666666667,1.0,0.0,0.579375,0.585,0.585625,0.585625,0.580625
A,main,"RF(20,d3)",50,0.593125,0.595,0.5854166666666667,0.3,0.187499999999996,0.600625,0.595,0.599375,0.6025,0.593125
A,main,"RF(20,d3)",51,0.585,0.595,0.5864583333333333,0.0,1.0000000000000009,0.595,0.585,0.586875,0.58625,0.585
A,main,"RF(20,d3)",52,0.575,0.58,0.5666666666666667,0.0,0.5000000000000004,0.58,0.5775,0.571875,0.575625,0.575
A,main,"RF(20,d3)",53,0.561875,0.58875,0.5739583333333333,0.0,2.6874999999999982,0.58875,0.5825,0.5825,0.57375,0.561875
A,main,"RF(20,d3)",54,0.55875,0.566875,0.5708333333333333,0.7,0.8125000000000049,0.563125,0.55875,0.55875,0.566875,0.55875
A,main,"RF(20,d3)",55,0.525,0.539375,0.5510416666666667,0.0,1.4375000000000027,0.539375,0.53625,0.5475,0.5325,0.525
A,main,"RF(20,d3)",56,0.601875,0.61,0.609375,0.3,0.8124999999999938,0.6075,0.61,0.6025,0.6025,0.601875
A,main,"RF(20,d3)",57,0.564375,0.56625,0.5833333333333334,0.0,0.1875000000000071,0.56625,0.56375,0.564375,0.564375,0.564375
A,main,"RF(20,d3)",58,0.575,0.575,0.5739583333333333,1.0,0.0,0.56125,0.565625,0.56625,0.56625,0.575
A,main,"RF(20,d3)",59,0.516875,0.56125,0.5989583333333334,0.0,4.437500000000005,0.56125,0.55,0.55625,0.550625,0.516875
A,main,"RF(20,d3)",60,0.548125,0.555625,0.5510416666666667,0.7,0.7500000000000062,0.5475,0.548125,0.54875,0.555625,0.548125
A,main,"RF(20,d3)",61,0.576875,0.595625,0.6,0.5,1.8749999999999933,0.566875,0.59375,0.595625,0.578125,0.576875
A,main,XGB(sm),42,0.745625,0.74375,0.75,0.0,-0.187499999999996,0.74375,0.748125,0.745,0.746875,0.745625
A,main,XGB(sm),43,0.76,0.76,0.7239583333333334,1.0,0.0,0.761875,0.75625,0.75875,0.7625,0.76
A,main,XGB(sm),44,0.74375,0.746875,0.7052083333333333,0.3,0.31249999999999334,0.748125,0.746875,0.75,0.74375,0.74375
A,main,XGB(sm),45,0.735625,0.7325,0.7458333333333333,0.3,-0.31249999999999334,0.731875,0.7325,0.73,0.734375,0.735625
A,main,XGB(sm),46,0.741875,0.740625,0.7333333333333333,0.0,-0.12499999999999734,0.740625,0.7425,0.74,0.740625,0.741875
A,main,XGB(sm),47,0.738125,0.740625,0.7447916666666666,0.5,0.24999999999999467,0.74,0.743125,0.740625,0.74,0.738125
A,main,XGB(sm),48,0.72625,0.71875,0.7302083333333333,0.0,-0.7499999999999951,0.71875,0.720625,0.7225,0.715625,0.72625
A,main,XGB(sm),49,0.74125,0.73875,0.740625,0.5,-0.24999999999999467,0.74,0.738125,0.73875,0.74125,0.74125
A,main,XGB(sm),50,0.740625,0.738125,0.740625,0.0,-0.24999999999999467,0.738125,0.735,0.738125,0.736875,0.740625
A,main,XGB(sm),51,0.730625,0.73375,0.7322916666666667,0.7,0.31250000000000444,0.73125,0.7325,0.733125,0.73375,0.730625
A,main,XGB(sm),52,0.739375,0.739375,0.734375,1.0,0.0,0.738125,0.743125,0.741875,0.74125,0.739375
A,main,XGB(sm),53,0.73625,0.7375,0.7395833333333334,0.5,0.12500000000000844,0.741875,0.7375,0.7375,0.735625,0.73625
A,main,XGB(sm),54,0.736875,0.738125,0.7447916666666666,0.3,0.12500000000000844,0.7375,0.738125,0.738125,0.73625,0.736875
A,main,XGB(sm),55,0.74875,0.7475,0.759375,0.5,-0.12499999999999734,0.74625,0.7525,0.7475,0.74875,0.74875
A,main,XGB(sm),56,0.719375,0.719375,0.7291666666666666,1.0,0.0,0.725,0.723125,0.725,0.724375,0.719375
A,main,XGB(sm),57,0.733125,0.73625,0.7489583333333333,0.7,0.31249999999999334,0.734375,0.73375,0.7375,0.73625,0.733125
A,main,XGB(sm),58,0.744375,0.749375,0.7333333333333333,0.0,0.5000000000000004,0.749375,0.745625,0.75,0.754375,0.744375
A,main,XGB(sm),59,0.714375,0.718125,0.740625,0.7,0.3750000000000031,0.718125,0.72125,0.72,0.718125,0.714375
A,main,XGB(sm),60,0.738125,0.7425,0.7395833333333334,0.3,0.4375000000000018,0.73625,0.7425,0.73625,0.73375,0.738125
A,main,XGB(sm),61,0.740625,0.740625,0.7104166666666667,1.0,0.0,0.745,0.7425,0.74375,0.741875,0.740625
A,main,GB(sm),42,0.761875,0.759375,0.7625,0.7,-0.24999999999999467,0.75625,0.75875,0.761875,0.759375,0.761875
A,main,GB(sm),43,0.7725,0.77,0.7364583333333333,0.0,-0.24999999999999467,0.77,0.769375,0.77375,0.77125,0.7725
A,main,GB(sm),44,0.76125,0.77,0.7270833333333333,0.0,0.8750000000000036,0.77,0.7625,0.759375,0.7625,0.76125
A,main,GB(sm),45,0.7475,0.7475,0.7489583333333333,1.0,0.0,0.74875,0.746875,0.7475,0.75125,0.7475
A,main,GB(sm),46,0.74625,0.75875,0.7583333333333333,0.5,1.2500000000000067,0.755,0.7575,0.75875,0.75125,0.74625
A,main,GB(sm),47,0.755625,0.748125,0.7572916666666667,0.3,-0.7499999999999951,0.746875,0.748125,0.74625,0.7475,0.755625
A,main,GB(sm),48,0.746875,0.7425,0.7520833333333333,0.3,-0.4374999999999907,0.748125,0.7425,0.74625,0.745,0.746875
A,main,GB(sm),49,0.754375,0.749375,0.7510416666666667,0.0,-0.5000000000000004,0.749375,0.75125,0.7475,0.7475,0.754375
A,main,GB(sm),50,0.75,0.750625,0.759375,0.0,0.06249999999999867,0.750625,0.75125,0.746875,0.746875,0.75
A,main,GB(sm),51,0.745625,0.745625,0.75,1.0,0.0,0.74375,0.745,0.75125,0.744375,0.745625
A,main,GB(sm),52,0.75375,0.75,0.7510416666666667,0.3,-0.3750000000000031,0.75375,0.75,0.754375,0.751875,0.75375
A,main,GB(sm),53,0.748125,0.754375,0.7666666666666667,0.7,0.6249999999999978,0.74875,0.753125,0.75,0.754375,0.748125
A,main,GB(sm),54,0.755625,0.761875,0.7614583333333333,0.0,0.6249999999999978,0.761875,0.758125,0.75625,0.754375,0.755625
A,main,GB(sm),55,0.76,0.760625,0.7791666666666667,0.0,0.06249999999999867,0.760625,0.76125,0.763125,0.76125,0.76
A,main,GB(sm),56,0.74375,0.748125,0.7354166666666667,0.3,0.4375000000000018,0.750625,0.748125,0.741875,0.745625,0.74375
A,main,GB(sm),57,0.75125,0.75125,0.7572916666666667,1.0,0.0,0.74875,0.7525,0.753125,0.7475,0.75125
A,main,GB(sm),58,0.768125,0.771875,0.75625,0.0,0.3750000000000031,0.771875,0.76625,0.764375,0.766875,0.768125
A,main,GB(sm),59,0.7275,0.7275,0.7520833333333333,0.0,0.0,0.7275,0.73,0.725625,0.73,0.7275
A,main,GB(sm),60,0.750625,0.7475,0.7479166666666667,0.3,-0.31249999999999334,0.745,0.7475,0.75,0.748125,0.750625
A,main,GB(sm),61,0.753125,0.753125,0.7229166666666667,1.0,0.0,0.763125,0.758125,0.7525,0.755,0.753125
A,main,DT(d5),42,0.58125,0.58125,0.5864583333333333,0.0,0.0,0.58125,0.58125,0.58125,0.58125,0.58125
A,main,DT(d5),43,0.58375,0.601875,0.5802083333333333,0.3,1.8125000000000058,0.5825,0.601875,0.5825,0.58375,0.58375
A,main,DT(d5),44,0.62,0.620625,0.6072916666666667,0.0,0.06249999999999867,0.620625,0.620625,0.620625,0.62,0.62
A,main,DT(d5),45,0.570625,0.570625,0.5739583333333333,0.3,0.0,0.561875,0.570625,0.570625,0.570625,0.570625
A,main,DT(d5),46,0.570625,0.5725,0.5604166666666667,0.0,0.187499999999996,0.5725,0.5725,0.5725,0.574375,0.570625
A,main,DT(d5),47,0.603125,0.6025,0.5989583333333334,0.5,-0.06249999999999867,0.603125,0.603125,0.6025,0.603125,0.603125
A,main,DT(d5),48,0.59875,0.59875,0.59375,0.0,0.0,0.59875,0.59875,0.59875,0.59875,0.59875
A,main,DT(d5),49,0.61125,0.60625,0.6354166666666666,0.0,-0.5000000000000004,0.60625,0.61125,0.61125,0.61125,0.61125
A,main,DT(d5),50,0.556875,0.55625,0.5635416666666667,0.0,-0.06249999999999867,0.55625,0.55625,0.556875,0.556875,0.556875
A,main,DT(d5),51,0.56875,0.605625,0.6260416666666667,0.0,3.687499999999999,0.605625,0.605625,0.605625,0.56875,0.56875
A,main,DT(d5),52,0.576875,0.576875,0.5822916666666667,0.0,0.0,0.576875,0.576875,0.575625,0.575625,0.576875
A,main,DT(d5),53,0.590625,0.590625,0.5833333333333334,0.0,0.0,0.590625,0.590625,0.590625,0.590625,0.590625
A,main,DT(d5),54,0.61625,0.61625,0.6260416666666667,0.3,0.0,0.61625,0.61625,0.61625,0.61625,0.61625
A,main,DT(d5),55,0.574375,0.575625,0.5760416666666667,0.0,0.12500000000000844,0.575625,0.575625,0.575625,0.574375,0.574375
A,main,DT(d5),56,0.5925,0.5925,0.578125,1.0,0.0,0.593125,0.593125,0.593125,0.593125,0.5925
A,main,DT(d5),57,0.5975,0.6,0.6229166666666667,0.3,0.24999999999999467,0.59875,0.6,0.6025,0.5975,0.5975
A,main,DT(d5),58,0.61125,0.61375,0.6177083333333333,0.3,0.2500000000000058,0.613125,0.61375,0.61375,0.61375,0.61125
A,main,DT(d5),59,0.55625,0.560625,0.5666666666666667,0.0,0.4375000000000018,0.560625,0.560625,0.560625,0.560625,0.55625
A,main,DT(d5),60,0.611875,0.609375,0.6197916666666666,0.3,-0.24999999999999467,0.611875,0.609375,0.609375,0.611875,0.611875
A,main,DT(d5),61,0.57625,0.576875,0.5677083333333334,0.0,0.06249999999999867,0.576875,0.576875,0.5775,0.5775,0.57625
A,main,DT(d3),42,0.511875,0.51125,0.5239583333333333,0.0,-0.06249999999999867,0.51125,0.511875,0.511875,0.511875,0.511875
A,main,DT(d3),43,0.5225,0.5225,0.5145833333333333,0.0,0.0,0.5225,0.5025,0.5225,0.5225,0.5225
A,main,DT(d3),44,0.528125,0.528125,0.5197916666666667,0.0,0.0,0.528125,0.528125,0.528125,0.528125,0.528125
A,main,DT(d3),45,0.513125,0.51375,0.5322916666666667,0.0,0.06249999999999867,0.51375,0.513125,0.513125,0.513125,0.513125
A,main,DT(d3),46,0.515,0.515,0.5302083333333333,1.0,0.0,0.519375,0.519375,0.519375,0.519375,0.515
A,main,DT(d3),47,0.533125,0.53125,0.5229166666666667,0.0,-0.187499999999996,0.53125,0.53125,0.533125,0.533125,0.533125
A,main,DT(d3),48,0.534375,0.535,0.5395833333333333,0.0,0.06249999999999867,0.535,0.535,0.535,0.535,0.534375
A,main,DT(d3),49,0.525625,0.525625,0.5489583333333333,0.0,0.0,0.525625,0.525625,0.525625,0.525625,0.525625
A,main,DT(d3),50,0.5,0.5,0.5125,0.5,0.0,0.498125,0.498125,0.5,0.5,0.5
A,main,DT(d3),51,0.50875,0.510625,0.5208333333333334,0.0,0.187499999999996,0.510625,0.510625,0.510625,0.50875,0.50875
A,main,DT(d3),52,0.51625,0.51625,0.5229166666666667,1.0,0.0,0.514375,0.514375,0.514375,0.514375,0.51625
A,main,DT(d3),53,0.529375,0.529375,0.51875,0.0,0.0,0.529375,0.529375,0.529375,0.529375,0.529375
A,main,DT(d3),54,0.53,0.526875,0.51875,0.0,-0.31250000000000444,0.526875,0.53,0.53,0.53,0.53
