experiment,metric,condition,seed,value
G,test_acc,T=1.0,42,0.7825
G,test_acc,T=1.0,43,0.780625
G,test_acc,T=1.0,44,0.793125
G,test_acc,T=1.0,45,0.7775
G,test_acc,T=1.0,46,0.78875
G,test_acc,T=1.0,47,0.7875
G,test_acc,T=1.0,48,0.743125
G,test_acc,T=1.0,49,0.7725
G,test_acc,T=1.0,50,0.770625
G,test_acc,T=1.0,51,0.77875
G,test_acc,T=1.0,52,0.7775
G,test_acc,T=1.0,53,0.769375
G,test_acc,T=1.0,54,0.774375
G,test_acc,T=1.0,55,0.785625
G,test_acc,T=1.0,56,0.77875
G,test_acc,T=1.0,57,0.77375
G,test_acc,T=1.0,58,0.785625
G,test_acc,T=1.0,59,0.758125
G,test_acc,T=1.0,60,0.775
G,test_acc,T=1.0,61,0.78125
G,test_acc,T=3.0,42,0.774375
G,test_acc,T=3.0,43,0.78375
G,test_acc,T=3.0,44,0.796875
G,test_acc,T=3.0,45,0.768125
G,test_acc,T=3.0,46,0.78
G,test_acc,T=3.0,47,0.775
G,test_acc,T=3.0,48,0.748125
G,test_acc,T=3.0,49,0.775625
G,test_acc,T=3.0,50,0.770625
G,test_acc,T=3.0,51,0.78125
G,test_acc,T=3.0,52,0.775
G,test_acc,T=3.0,53,0.763125
G,test_acc,T=3.0,54,0.77625
G,test_acc,T=3.0,55,0.790625
G,test_acc,T=3.0,56,0.7625
G,test_acc,T=3.0,57,0.76625
G,test_acc,T=3.0,58,0.7925
G,test_acc,T=3.0,59,0.7475
G,test_acc,T=3.0,60,0.77
G,test_acc,T=3.0,61,0.77125
G,test_acc,T=5.0,42,0.786875
G,test_acc,T=5.0,43,0.78125
G,test_acc,T=5.0,44,0.790625
G,test_acc,T=5.0,45,0.78375
G,test_acc,T=5.0,46,0.775625
G,test_acc,T=5.0,47,0.785
G,test_acc,T=5.0,48,0.743125
G,test_acc,T=5.0,49,0.775
G,test_acc,T=5.0,50,0.765
G,test_acc,T=5.0,51,0.76875
G,test_acc,T=5.0,52,0.785
G,test_acc,T=5.0,53,0.763125
G,test_acc,T=5.0,54,0.76625
G,test_acc,T=5.0,55,0.7875
G,test_acc,T=5.0,56,0.773125
G,test_acc,T=5.0,57,0.77125
G,test_acc,T=5.0,58,0.7825
G,test_acc,T=5.0,59,0.74875
G,test_acc,T=5.0,60,0.763125
G,test_acc,T=5.0,61,0.780625
G,test_acc,T=10.0,42,0.770625
G,test_acc,T=10.0,43,0.784375
G,test_acc,T=10.0,44,0.7825
G,test_acc,T=10.0,45,0.773125
G,test_acc,T=10.0,46,0.7775
G,test_acc,T=10.0,47,0.78
G,test_acc,T=10.0,48,0.741875
G,test_acc,T=10.0,49,0.77625
G,test_acc,T=10.0,50,0.773125
G,test_acc,T=10.0,51,0.76375
G,test_acc,T=10.0,52,0.78375
G,test_acc,T=10.0,53,0.780625
G,test_acc,T=10.0,54,0.781875
G,test_acc,T=10.0,55,0.793125
G,test_acc,T=10.0,56,0.7775
G,test_acc,T=10.0,57,0.775625
G,test_acc,T=10.0,58,0.78375
G,test_acc,T=10.0,59,0.7575
G,test_acc,T=10.0,60,0.7575
G,test_acc,T=10.0,61,0.784375
G,test_acc,T=20.0,42,0.778125
G,test_acc,T=20.0,43,0.77125
G,test_acc,T=20.0,44,0.785625
G,test_acc,T=20.0,45,0.763125
G,test_acc,T=20.0,46,0.779375
G,test_acc,T=20.0,47,0.785
G,test_acc,T=20.0,48,0.74625
G,test_acc,T=20.0,49,0.771875
G,test_acc,T=20.0,50,0.76875
G,test_acc,T=20.0,51,0.77625
G,test_acc,T=20.0,52,0.773125
G,test_acc,T=20.0,53,0.775
G,test_acc,T=20.0,54,0.775
G,test_acc,T=20.0,55,0.798125
G,test_acc,T=20.0,56,0.7825
G,test_acc,T=20.0,57,0.770625
G,test_acc,T=20.0,58,0.78
G,test_acc,T=20.0,59,0.744375
G,test_acc,T=20.0,60,0.7825
G,test_acc,T=20.0,61,0.786875
H,ece,teacher,42,0.08313816797171449
H,ece,teacher,43,0.0559335095718267
H,ece,teacher,44,0.03666744602760088
H,ece,teacher,45,0.059449951142810306
H,ece,teacher,46,0.05850393635646217
H,ece,teacher,47,0.06890158707055759
H,ece,teacher,48,0.046680110709263534
H,ece,teacher,49,0.062121079538311384
H,ece,teacher,50,0.04402918471601499
H,ece,teacher,51,0.05742289108291431
H,ece,teacher,52,0.05783253782226524
H,ece,teacher,53,0.049271517361793506
H,ece,teacher,54,0.04787484731652464
H,ece,teacher,55,0.053621064592078146
H,ece,teacher,56,0.04450505344555946
H,ece,teacher,57,0.0586480382268751
H,ece,teacher,58,0.04866597180398582
H,ece,teacher,59,0.054860338280718964
H,ece,teacher,60,0.04638860185651214
H,ece,teacher,61,0.040383036497700704
H,ece,baseline_MLP(32x2),42,0.07600771334022284
H,ece,baseline_MLP(32x2),43,0.07662784393876793
H,ece,baseline_MLP(32x2),44,0.07518135169520973
H,ece,baseline_MLP(32x2),45,0.09225246280431748
H,ece,baseline_MLP(32x2),46,0.060340494755655526
H,ece,baseline_MLP(32x2),47,0.09038889471441508
H,ece,baseline_MLP(32x2),48,0.0708693735860288
H,ece,baseline_MLP(32x2),49,0.06449629230424762
H,ece,baseline_MLP(32x2),50,0.04824748754501343
H,ece,baseline_MLP(32x2),51,0.06719569504261019
H,ece,baseline_MLP(32x2),52,0.08562930922955275
H,ece,baseline_MLP(32x2),53,0.05691106034442781
H,ece,baseline_MLP(32x2),54,0.06133809460327029
H,ece,baseline_MLP(32x2),55,0.07924643371254204
H,ece,baseline_MLP(32x2),56,0.05203150106593967
H,ece,baseline_MLP(32x2),57,0.06537569781765341
H,ece,baseline_MLP(32x2),58,0.06864839049056172
H,ece,baseline_MLP(32x2),59,0.06661702616140247
H,ece,baseline_MLP(32x2),60,0.07461559917777777
H,ece,baseline_MLP(32x2),61,0.05816023547202347
H,ece,distil_MLP(32x2),42,0.08070348571054638
H,ece,distil_MLP(32x2),43,0.04662438729777931
H,ece,distil_MLP(32x2),44,0.044654468651860964
H,ece,distil_MLP(32x2),45,0.05968486709520222
H,ece,distil_MLP(32x2),46,0.061284780986607064
H,ece,distil_MLP(32x2),47,0.062465196605771774
H,ece,distil_MLP(32x2),48,0.03755875548347829
H,ece,distil_MLP(32x2),49,0.05927494095638394
H,ece,distil_MLP(32x2),50,0.05396694799885154
H,ece,distil_MLP(32x2),51,0.0628983211889863
H,ece,distil_MLP(32x2),52,0.0509646819345653
H,ece,distil_MLP(32x2),53,0.06607523348182438
H,ece,distil_MLP(32x2),54,0.04540270891040565
H,ece,distil_MLP(32x2),55,0.04091064766049384
H,ece,distil_MLP(32x2),56,0.053945418633520606
H,ece,distil_MLP(32x2),57,0.056534922532737245
H,ece,distil_MLP(32x2),58,0.04606968306005002
H,ece,distil_MLP(32x2),59,0.039753958843648435
H,ece,distil_MLP(32x2),60,0.052819131501019
H,ece,distil_MLP(32x2),61,0.05028468756005169
H,ece,baseline_MLP(8),42,0.09360399363562466
H,ece,baseline_MLP(8),43,0.08727023489773274
H,ece,baseline_MLP(8),44,0.07909064082428814
H,ece,baseline_MLP(8),45,0.04243340326473117
H,ece,baseline_MLP(8),46,0.06301638208329678
H,ece,baseline_MLP(8),47,0.07953799880109727
H,ece,baseline_MLP(8),48,0.07665999265387655
H,ece,baseline_MLP(8),49,0.11752546494826674
H,ece,baseline_MLP(8),50,0.05522118899971247
H,ece,baseline_MLP(8),51,0.0784043394215405
H,ece,baseline_MLP(8),52,0.06890113502740859
H,ece,baseline_MLP(8),53,0.0772929166816175
H,ece,baseline_MLP(8),54,0.09033891813829543
H,ece,baseline_MLP(8),55,0.1066430726647377
H,ece,baseline_MLP(8),56,0.06708331013098358
H,ece,baseline_MLP(8),57,0.06285644365474582
H,ece,baseline_MLP(8),58,0.046521859746426364
H,ece,baseline_MLP(8),59,0.06928938461467624
H,ece,baseline_MLP(8),60,0.08244373673573137
H,ece,baseline_MLP(8),61,0.07455078592523931
H,ece,distil_MLP(8),42,0.0401941908337176
H,ece,distil_MLP(8),43,0.04644893165677786
H,ece,distil_MLP(8),44,0.03427197793498636
H,ece,distil_MLP(8),45,0.03597019540145993
H,ece,distil_MLP(8),46,0.03523663543164729
H,ece,distil_MLP(8),47,0.05245593436062337
H,ece,distil_MLP(8),48,0.05943904280662537
H,ece,distil_MLP(8),49,0.06079756181687117
H,ece,distil_MLP(8),50,0.04881156820803881
H,ece,distil_MLP(8),51,0.04956356937065722
H,ece,distil_MLP(8),52,0.0626340689882636
H,ece,distil_MLP(8),53,0.03576049610972405
H,ece,distil_MLP(8),54,0.06125653043389323
H,ece,distil_MLP(8),55,0.04760611254721879
H,ece,distil_MLP(8),56,0.037482298463582996
H,ece,distil_MLP(8),57,0.04084007790312171
H,ece,distil_MLP(8),58,0.05230834787711503
H,ece,distil_MLP(8),59,0.048226900082081546
H,ece,distil_MLP(8),60,0.03210857741534709
H,ece,distil_MLP(8),61,0.05163714163005352
