experiment,condition,model,seed,base_test_mse,best_test_mse,best_alpha,improvement_pct,test_mse_a0.0,test_mse_a0.3,test_mse_a0.5,test_mse_a0.7,test_mse_a1.0
A,main,"RF(50,d5)",42,3.2721670402314778,3.2698282139570165,0.7,0.07147637164317246,3.346824713391709,3.3201261634905013,3.3045575459829832,3.2698282139570165,3.2721670402314778
A,main,"RF(50,d5)",43,2.7284684810906903,2.7284684810906903,1.0,0.0,2.7053846580268766,2.7124629599398404,2.7074867647528076,2.705865685508663,2.7284684810906903
A,main,"RF(50,d5)",44,3.272271929493791,3.252108336052099,0.5,0.6161955325275067,3.2323242171126414,3.2274212597597938,3.252108336052099,3.2633092402911497,3.272271929493791
A,main,"RF(50,d5)",45,2.944594240269508,2.944594240269508,1.0,0.0,2.9687756190561285,2.9728104383282132,2.976051634866442,2.9894837910928245,2.944594240269508
A,main,"RF(50,d5)",46,3.166970204617571,3.166970204617571,1.0,0.0,3.3940614530529536,3.3160896069170342,3.250295349009922,3.2174260519007447,3.166970204617571
A,main,"RF(50,d5)",47,2.9228991594301714,2.9641160632897874,0.7,-1.4101377300902618,3.0100410970646045,3.006813128452501,2.9934839417914096,2.9641160632897874,2.9228991594301714
A,main,"RF(50,d5)",48,3.0147307674212853,2.9859120763059,0.5,0.9559291803704196,3.047888180597909,2.999979267174639,2.9859120763059,2.996982265156415,3.0147307674212853
A,main,"RF(50,d5)",49,3.145090222160838,3.145090222160838,1.0,0.0,3.1939274426996,3.197937330485403,3.1766377381193105,3.18125101639746,3.145090222160838
A,main,"RF(50,d5)",50,3.101803287142836,3.101803287142836,1.0,0.0,3.1119640768807835,3.1202718854472344,3.10651008780825,3.098245559868504,3.101803287142836
A,main,"RF(50,d5)",51,3.371143254754945,3.371143254754945,1.0,0.0,3.429493638131102,3.378149850638074,3.3484732262628207,3.3540547919410097,3.371143254754945
A,main,"RF(50,d5)",52,2.951818785680839,2.951818785680839,1.0,0.0,3.016468935283555,3.0202926935420984,3.0309009538530356,3.0018894826393407,2.951818785680839
A,main,"RF(50,d5)",53,3.2603769228654054,3.2603769228654054,1.0,0.0,3.4306162047780164,3.4132271833869967,3.374446506973948,3.2985090641013612,3.2603769228654054
A,main,"RF(50,d5)",54,3.0556657459272816,3.0556657459272816,1.0,0.0,3.088230876780583,3.0758045372634095,3.0748994658990427,3.064805902960374,3.0556657459272816
A,main,"RF(50,d5)",55,3.073301246063882,3.073301246063882,1.0,0.0,3.1977893195852665,3.199011344654452,3.194313048175154,3.1713270307138,3.073301246063882
A,main,"RF(50,d5)",56,2.952980214629263,2.952980214629263,1.0,0.0,3.10897641109175,3.074346780480263,3.055651863973729,3.0277892431639466,2.952980214629263
A,main,"RF(50,d5)",57,3.0396388178040357,3.0396388178040357,1.0,0.0,3.204910032239698,3.152322484969212,3.130342191354034,3.1278857373564617,3.0396388178040357
A,main,"RF(50,d5)",58,3.2758163323986267,3.192546414840883,0.0,2.5419592891757605,3.192546414840883,3.2071550589521918,3.1999592201293052,3.2451166726180727,3.2758163323986267
A,main,"RF(50,d5)",59,2.935682417999346,2.9359237012285075,0.3,-0.008218982669311571,2.9421458272663497,2.9359237012285075,2.925135760037052,2.9167687703972787,2.935682417999346
A,main,"RF(50,d5)",60,2.646263825205798,2.675030168777829,0.5,-1.08705501311056,2.7611446122933687,2.717849240421333,2.675030168777829,2.6874885841498752,2.646263825205798
A,main,"RF(50,d5)",61,3.102933294598546,3.102933294598546,1.0,0.0,3.2453974216979304,3.206798751856761,3.1790577519611416,3.163761614495648,3.102933294598546
A,main,"RF(20,d3)",42,7.391863181392524,7.27709621959073,0.7,1.5526120950222138,7.334355271325088,7.359322036188178,7.29178459809175,7.27709621959073,7.391863181392524
A,main,"RF(20,d3)",43,5.925919698517606,5.925919698517606,1.0,0.0,5.927102640773157,5.963312371792532,5.962908616597568,5.924623431028508,5.925919698517606
A,main,"RF(20,d3)",44,7.222730963772619,7.094640569642924,0.0,1.773434380598754,7.094640569642924,7.112622777323194,7.197470699462283,7.182927694185654,7.222730963772619
A,main,"RF(20,d3)",45,6.479048723893673,6.479048723893673,1.0,0.0,6.443939339837438,6.443749849884741,6.455777244703665,6.447948077144545,6.479048723893673
A,main,"RF(20,d3)",46,6.423092831423521,6.423092831423521,1.0,0.0,6.550501380124225,6.491737075379029,6.497562356536776,6.50945876766957,6.423092831423521
A,main,"RF(20,d3)",47,6.920896848980123,7.017130382071847,0.3,-1.3904777833223378,7.028486518352255,7.017130382071847,7.024561741475155,7.003858200337741,6.920896848980123
A,main,"RF(20,d3)",48,6.812145962814466,6.794023229100889,0.0,0.26603560482267613,6.794023229100889,6.737211596390117,6.692412734615247,6.774073344113715,6.812145962814466
A,main,"RF(20,d3)",49,6.576738293000429,6.576738293000429,1.0,0.0,6.67921212985105,6.758104208802556,6.707631445086024,6.680910924939188,6.576738293000429
A,main,"RF(20,d3)",50,6.727773061069397,6.727773061069397,1.0,0.0,6.724700231910363,6.723903626032749,6.731689895922058,6.723696869145797,6.727773061069397
A,main,"RF(20,d3)",51,7.513319780974157,7.4646406587936305,0.3,0.6479043032854291,7.598608465213925,7.4646406587936305,7.493680610054332,7.5207635509606625,7.513319780974157
A,main,"RF(20,d3)",52,6.377516255987564,6.377516255987564,1.0,0.0,6.539524309710767,6.563526876811138,6.510546293819167,6.518134087384887,6.377516255987564
A,main,"RF(20,d3)",53,7.240203808045624,7.240203808045624,1.0,0.0,7.643732476836589,7.541287301097632,7.494473503244947,7.324462538734469,7.240203808045624
A,main,"RF(20,d3)",54,6.771076686244889,6.771076686244889,1.0,0.0,6.808086955498786,6.795088944614969,6.790736445564724,6.785637431721911,6.771076686244889
A,main,"RF(20,d3)",55,7.059208110805289,7.059208110805289,1.0,0.0,7.239084266901132,7.218915475158987,7.148493445233576,7.1449043593722426,7.059208110805289
A,main,"RF(20,d3)",56,6.594642893922682,6.594642893922682,1.0,0.0,6.941417389423998,6.894573318522144,6.866082152959617,6.807829492611774,6.594642893922682
A,main,"RF(20,d3)",57,6.351440982897835,6.351440982897835,1.0,0.0,6.649513202402053,6.514705401329548,6.463385965017806,6.442307278703182,6.351440982897835
A,main,"RF(20,d3)",58,7.161595786043396,7.094456260018149,0.5,0.9374939333505649,7.07719463148069,7.098879535283946,7.094456260018149,7.174222216235659,7.161595786043396
A,main,"RF(20,d3)",59,6.708274560676104,6.777715920268678,0.0,-1.0351597711822793,6.777715920268678,6.702175572560995,6.71076121985123,6.706678847295462,6.708274560676104
A,main,"RF(20,d3)",60,6.0465786278051254,6.07471053270229,0.5,-0.46525327178911036,6.307056950900295,6.154466225641843,6.07471053270229,6.064989426415388,6.0465786278051254
A,main,"RF(20,d3)",61,6.565053252908692,6.565053252908692,1.0,0.0,6.697525665461975,6.634988348112855,6.628320729709792,6.621007167189812,6.565053252908692
A,main,XGB(sm),42,1.6693439977852822,1.6057902727302742,0.7,3.8071077704370513,1.630232348762352,1.7159336166436372,1.7079810125081054,1.6057902727302742,1.6693439977852822
A,main,XGB(sm),43,1.3394479242483792,1.3024641734752072,0.7,2.761118973246026,1.4351523483136928,1.3388034512857032,1.2895457582097618,1.3024641734752072,1.3394479242483792
A,main,XGB(sm),44,1.291335239890606,1.2940846891833644,0.7,-0.2129152219985385,1.40049092582657,1.4203991700179148,1.3181836057066953,1.2940846891833644,1.291335239890606
A,main,XGB(sm),45,1.3880007809222883,1.3108311548549432,0.5,5.559768202440638,1.3169019256739638,1.2906544406549232,1.3108311548549432,1.3554397005363112,1.3880007809222883
A,main,XGB(sm),46,1.5123575039456614,1.4844028128967706,0.3,1.848418179958012,1.4619998942155161,1.4844028128967706,1.493922404922765,1.5338308520742616,1.5123575039456614
A,main,XGB(sm),47,1.1643794826341567,1.168256488377373,0.3,-0.33296754202894135,1.2316885497296832,1.168256488377373,1.2218442900310897,1.1717309919770702,1.1643794826341567
A,main,XGB(sm),48,1.4003852655711417,1.4003852655711417,1.0,0.0,1.569102426722334,1.5301584312867695,1.4760604073159602,1.4320069214204458,1.4003852655711417
A,main,XGB(sm),49,1.4350102016421638,1.4350102016421638,1.0,0.0,1.4862075231429892,1.515182123445626,1.4773278730409065,1.4220818163202784,1.4350102016421638
A,main,XGB(sm),50,1.6056745394818135,1.5715201943963366,0.7,2.127102612992745,1.6781835745644271,1.7125594042210748,1.695278578065803,1.5715201943963366,1.6056745394818135
A,main,XGB(sm),51,2.0459460957791875,2.000169693533606,0.5,2.237419760961377,2.1385535184645352,2.0337118495381583,2.000169693533606,2.0006809607886393,2.0459460957791875
A,main,XGB(sm),52,1.4106216780293435,1.5108206262377282,0.0,-7.103176547546322,1.5108206262377282,1.5043340163927832,1.4889350851230305,1.4619612159488988,1.4106216780293435
A,main,XGB(sm),53,1.2985085631097628,1.3005065677976408,0.7,-0.1538691961409221,1.3637981991405306,1.363697434220881,1.3354440526846065,1.3005065677976408,1.2985085631097628
A,main,XGB(sm),54,1.331700267709847,1.331700267709847,1.0,0.0,1.422091242457119,1.4512130302082435,1.463600187597126,1.4209753871033903,1.331700267709847
A,main,XGB(sm),55,1.4382304758485762,1.4182510028580524,0.7,1.3891704650977903,1.4486227720542766,1.469008560647993,1.5521755786346834,1.4182510028580524,1.4382304758485762
A,main,XGB(sm),56,1.6069159422571002,1.496655586071904,0.3,6.861613186208282,1.6694816444127012,1.496655586071904,1.5705519915489572,1.5252126386948253,1.6069159422571002
A,main,XGB(sm),57,1.1025909985715903,1.0813039779519766,0.5,1.9306361694582146,1.1293962740574714,1.0833554855884617,1.0813039779519766,1.0701005710587563,1.1025909985715903
A,main,XGB(sm),58,1.8632027375534232,1.7889751085732402,0.5,3.983872902508269,1.894457064386674,1.7852442938016038,1.7889751085732402,1.7794538227539474,1.8632027375534232
A,main,XGB(sm),59,1.1788010126306723,1.2049472871456541,0.7,-2.2180397060087778,1.278896015484756,1.2581207506911023,1.282417310904573,1.2049472871456541,1.1788010126306723
A,main,XGB(sm),60,1.2689867636408008,1.2725374332614836,0.5,-0.27980351902928885,1.3322320254136093,1.244588157127326,1.2725374332614836,1.2952564455795992,1.2689867636408008
